Thu. Oct.  6, 2016             LANDSAT 5                 Time: 01:32
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L20229452            Path/Row: 123 / 039

L0R Reference Image: L51BKT1011255020100_HDF.162800550
Acquisition Date: Sep 12, 2011

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
123   039   07-09-2002


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1230390002_01   29.605192  114.514303    58.207       1.017    -0.136     1.027     0.009
1230390007_01   30.985921  114.652157    21.671       1.321     2.894     0.906     3.053
1230390014_01   30.800281  114.469657    12.044       2.808    -2.268     3.099    -1.855
1230390016_01   30.962206  114.658784    15.000      -1.326     4.427    -1.931     4.203
1230390023_01   30.406797  114.079586    12.131      -0.956     2.074    -1.238     1.921
1230390030_01   30.383235  114.301939     9.115       1.427     4.721     0.752     4.878
1230390035_01   30.777256  114.481046    10.017       2.362    -0.247     2.375     0.086
1230390058_01   30.843086  114.385308    10.963      -0.808     1.869    -1.061     1.739
1230390065_01   30.946049  114.347199    26.053       1.045    -1.599     1.258    -1.439
1230390069_01   30.580208  114.363311    20.770       2.378    -2.529     2.710    -2.173
1230390080_01   30.590049  114.176362    13.709      -2.178    -1.949    -1.885    -2.236
1230390083_01   30.904935  114.357686    25.807      -2.245    -1.247    -2.051    -1.549
1230390085_01   29.805408  113.734600     9.694      -5.108     0.654    -5.151    -0.072
1230390086_01   29.641445  113.353147    16.202      -2.473     0.647    -2.541     0.292
1230390089_01   30.656056  114.154114    11.434      -4.298    -3.180    -3.813    -3.752
1230390091_01   30.650851  113.840414    15.511      -1.603    -0.574    -1.508    -0.792
1230390106_01   29.947253  114.040461     9.929       1.169    -0.435     1.219    -0.266
1230390126_01   30.922079  113.907085    22.990      -3.125    -0.189    -3.069    -0.623
1230390138_01   30.924703  114.387869    16.428       0.926     0.017     0.916     0.146
1230390146_01   30.634678  113.982608    14.584       4.862    -3.492     5.305    -2.779
1230390149_01   30.425540  114.392633     6.254      -1.723     5.971    -2.544     5.675
1230390157_01   30.360066  114.076559    20.733      -2.080     1.382    -2.254     1.077
1230390158_01   30.761791  113.827378    12.002       2.999    -6.707     3.908    -6.225
1230390163_01   30.109554  114.277545    18.150      -4.407    -1.228    -4.193    -1.837
1230390168_01   30.839099  114.245360    31.919      -3.383    -5.788    -2.544    -6.207
1230390173_01   30.668268  113.810877    11.000      -2.430     5.070    -3.116     4.683
1230390174_01   30.981787  114.377015    13.181      -1.141     6.214    -1.997     5.999
1230390177_01   30.820417  114.525223    10.100      -1.350    -3.206    -0.890    -3.366
1230390179_01   30.323876  114.039252     9.067       0.376     0.107     0.358     0.159
1230390191_01   29.920225  113.943978    21.924       4.332     2.278     3.970     2.867
1230390195_01   30.588747  114.049993    12.497       0.923     2.240     0.601     2.348
1230390202_01   30.858658  114.410310    10.156      -3.157     1.188    -3.294     0.736
1230390210_01   31.052702  113.884970    15.729       3.154    -2.998     3.542    -2.530
1230390211_01   30.805873  114.189087    13.530       2.947    -3.571     3.419    -3.126
1230390213_01   29.682181  113.405544     9.943      -0.307    -1.219    -0.132    -1.251
1230390214_01   31.009875  113.038323    61.000      -0.413     4.645    -1.057     4.542
1230390222_01   30.043341  114.275050     7.872      -0.087    -3.915     0.465    -3.891
1230390238_01   30.381676  114.089406    16.883       0.374     2.943    -0.042     2.968
1230390241_01   30.437259  114.129559    21.299       4.609    -1.743     4.810    -1.080
1230390245_01   30.005096  113.587724     7.938       5.573    -0.951     5.653    -0.158
