==============================================================================
==============================================================================
Thu. Oct. 6 2016                  LANDSAT 5                       Time: 06:39
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501610054501_02344                          Path / Row - 123 / 39
Reference Image: L51BKT1011255020100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 95.7%
Rank   2 --  4.3%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1230390014   31.22424    113.05299    -0.13      0.03     0.14     1 
1230390015   31.22371    113.08572     0.15      0.20     0.25     1 
1230390090   31.19882    113.08518    -0.24      0.23     0.33     1 
1230390164   31.17446    113.05191    -0.41     -0.03     0.41     1 
1230390313   31.12520    113.01814    -0.18      0.20     0.27     1 
1230390319   31.12198    113.21435    -0.25      0.10     0.27     1 
1230390388   31.10031    113.01761     0.03      0.07     0.07     1 
1230390395   31.09653    113.24646    -0.29      0.26     0.39     1 
1230390407   31.08909    113.63866    -0.07     -0.06     0.09     1 
1230390463   31.07543    113.01708     0.08      0.01     0.08     1 
1230390464   31.07491    113.04977    -0.14     -0.02     0.14     1 
1230390538   31.05054    113.01656     0.02      0.21     0.21     1 
1230390539   31.05002    113.04924     0.08     -0.10     0.13     1 
1230390564   31.03446    113.86588     0.23      0.23     0.33     1 
1230390613   31.02565    113.01603    -0.03     -0.09     0.10     1 
1230390614   31.02514    113.04870     0.21      0.03     0.21     1 
1230390634   31.01311    113.70190     0.27      0.04     0.27     1 
1230390663   30.98982    114.64822    -0.07      0.01     0.07     1 
1230390689   31.00025    113.04817    -0.26      0.06     0.27     1 
1230390690   30.99973    113.08083    -0.41     -0.12     0.42     1 
1230390730   30.97207    114.38640    -0.30      0.01     0.30     1 
1230390731   30.97121    114.41902     0.06     -0.01     0.06     1 
1230390739   30.96404    114.67988     0.13      0.00     0.13     1 
1230390811   30.94194    114.58114     0.05     -0.04     0.06     1 
1230390837   30.95149    112.98182     0.21     -0.42     0.47     1 
1230390878   30.92404    114.31945    -0.01     -0.02     0.02     1 
1230390879   30.92320    114.35205    -0.06     -0.01     0.06     1 
1230390880   30.92235    114.38465     0.22      0.10     0.24     1 
1230390887   30.91617    114.61280     0.10     -0.11     0.15     1 
1230390888   30.91526    114.64539     0.08      0.08     0.11     1 
1230390915   30.92506    113.07921    -0.03     -0.15     0.15     1 
1230390948   30.90326    114.15561    -0.01      0.03     0.03     1 
1230390951   30.90084    114.25340     0.10     -0.11     0.15     1 
1230390953   30.89918    114.31859    -0.00     -0.09     0.09     1 
1230390955   30.89749    114.38377     0.29     -0.17     0.34     1 
1230390991   30.89964    113.11130     0.06     -0.26     0.27     1 
1230391015   30.88450    113.89403    -0.14      0.01     0.14     1 
1230391016   30.88376    113.92663    -0.14     -0.12     0.19     1 
1230391018   30.88227    113.99183     0.13     -0.08     0.15     1 
1230391022   30.87919    114.12220     0.03     -0.07     0.08     1 
1230391023   30.87840    114.15479    -0.15     -0.04     0.15     1 
1230391026   30.87598    114.25256     0.02     -0.07     0.07     1 
1230391027   30.87515    114.28515    -0.05      0.08     0.10     1 
1230391033   30.87004    114.48064     0.07     -0.30     0.31     1 
1230391061   30.87732    112.94766     0.06     -0.04     0.08     1 
1230391066   30.87476    113.11075    -0.08     -0.31     0.32     1 
1230391067   30.87422    113.14337    -0.10     -0.38     0.40     1 
1230391085   30.86317    113.73031    -0.05     -0.08     0.10     1 
1230391091   30.85889    113.92587     0.05     -0.07     0.08     1 
1230391095   30.85588    114.05623     0.27     -0.21     0.34     1 
1230391097   30.85432    114.12140     0.01     -0.02     0.02     1 
1230391098   30.85353    114.15398    -0.27     -0.36     0.45     1 
1230391099   30.85273    114.18656     0.01     -0.14     0.14     1 
1230391100   30.85193    114.21914     0.13     -0.11     0.17     1 
1230391102   30.85029    114.28430     0.01     -0.01     0.02     1 
1230391106   30.84691    114.41460     0.03      0.04     0.05     1 
